Year,Month,District,Max  temp,Min Temp,Days of frost in the air (days 0 or below),Rainfall,Sunshine,Temperature
2015,11,England E & NE,11.2,5,2.4,116.5,48,8.1
2015,12,England E & NE,11.1,4.9,1.8,147.3,37.3,8
2015,1,Scotland,5.2,-0.2,16,250.8,41.5,2.5
2015,2,Scotland,5.8,0.1,13.5,123.3,66,2.95
2015,3,Scotland,7.7,1,11,171.2,107.6,4.35
2015,4,Scotland,10.9,1.8,7.6,78.3,196.3,6.35
2015,5,Scotland,11.2,4,3.6,150.7,166.2,7.6
2015,6,Scotland,14.5,6.8,0.5,91.7,127.4,10.65
2015,7,Scotland,15.9,8.7,0,151,124.6,12.3
2015,8,Scotland,16.7,9.2,0,116.5,136.3,12.95
2015,9,Scotland,14.7,7,0,49.5,124.4,10.85
2015,10,Scotland,12.4,5.1,1.2,92,86.7,8.75
2015,11,Scotland,8.8,3.5,4.9,239.9,33.6,6.15
2015,12,Scotland,8.3,2.6,7.3,322.6,20.5,5.45
2016,1,Wales,8.1,2.7,6.1,243.8,36.6,5.4
2016,2,Wales,7.4,1.4,10.1,147.5,75.8,4.4
2016,3,Wales,8.9,1.6,8.1,104.4,124.1,5.25
2016,4,Wales,10.9,3,5.6,87.9,172.2,6.95
2016,5,Wales,16.3,7.4,0.3,85.2,216.3,11.85
2016,6,Wales,18.2,10.8,0,131.4,141.3,14.5
2016,7,Wales,18.7,11.7,0,86.3,154.9,15.2
2016,8,Wales,19.4,11.8,0,103.7,170.8,15.6
2016,9,Wales,18,11.1,0,135.3,120.4,14.55
2016,10,Wales,13.5,6.6,0.1,45,106.8,10.05
2016,11,Wales,8.6,2.4,6.5,118.1,70.7,5.5
2016,12,Wales,9.1,3.3,6.6,82.4,40.3,6.2
2016,1,South West,9,3.2,5.4,215.6,50.3,6.1
2016,2,South West,8.3,2.1,8.3,133.1,81.4,5.2
2016,3,South West,9.6,1.9,6.2,101.6,138.2,5.75
2016,4,South West,11.6,3.5,3.8,58.2,175.2,7.55
2016,5,South West,16.7,7.7,0.2,73.7,213.6,12.2
2016,6,South West,18.4,11.2,0,104.2,130.7,14.8
2016,7,South West,19.8,12.2,0,41.7,166.7,16
2016,8,South West,20.3,12.1,0,81.6,194.7,16.2
2016,9,South West,18.7,11.7,0,114.6,123.8,15.2
2016,10,South West,14.2,6.9,0,45.4,123,10.55
2016,11,South West,9.6,3.2,4.5,124.8,77.8,6.4
2016,12,South West,9.6,3.6,6.2,57.5,46,6.6
